id,title,chanel,Total_Minutes,Total_Views,Duration_in_Seconds,video_url,Views_per_Second,Year,Quarter,Month,Day,Calculated_Views,Cluster,ClusterLabel,Decision Path
44,جی تی ای اما حمله گودزیلا به شهر!...gta...جی تی ای وی...GTA V...جی تی ای 5,Ehsan Boxter,2880,85300,798,/v/xjekqpd,106.89223057644112,2025,Qtr 1,March,5,85300,2,Low Engagement,4
45,طرز تهیه خمیر هزار لا مخصوص شیرینی های حرفه ای|prokit,آشپزخانه حرفه ای پروکیت,4320,526,1419,/v/ajb7ae1,0.3706835799859055,2025,Qtr 1,March,4,526,0,Medium Engagement,2
46,خوراک سوسیس ویژه در ایستگاه شکموها,ايستگاه شکموها,5760,1800,450,/v/osnp3ci,4.0,2025,Qtr 1,March,3,1800,0,Medium Engagement,2
47,طرز تهیه بامیه عسلی ترد و خوشمزه با شربت مخصوص / بامیه عسلی / بامیه,عطر غذای من / aroma_of_my_food,5760,2200,189,/v/napico7,11.64021164021164,2025,Qtr 1,March,3,2200,0,Medium Engagement,2
48,متنجن | طرز تهیه متنجن خوشمزه و ساده,آشپزی با فرزانه پناهی,7200,843,961,/v/aukpo71,0.8772112382934444,2025,Qtr 1,March,2,843,0,Medium Engagement,2
49,ساخت پدال رئیسی قابل تنظیم برای تسلا,بنیامین بی ای,4320,3100,1413,/v/tdny2sg,2.193913658881812,2025,Qtr 1,March,4,3100,0,Medium Engagement,2
50,آشنایی با رله های ضروری سورن پلاس/جانمایی رله های جعبه فیوز جلور سورن ۱۴۰۳,خودروی من,4320,452,87,/v/vjx4aqj,5.195402298850575,2025,Qtr 1,March,4,452,0,Medium Engagement,2
51,KMC جی ۷ تحت فشار شدید بررسی شد / آقای نورمند را بخریم یا آریزو شش پرو؟!,بیت ران,7200,9400,3187,/v/qil27ux,2.9494822717288987,2025,Qtr 1,March,2,9400,0,Medium Engagement,2
52,زنگ املای درس چهاردهم فارسی ششم ابتدایی راز زندگی,مدرسه‌ نارنگی - حل تمرین دبستان,5760,195,315,/v/bguc514,0.6190476190476191,2025,Qtr 1,March,3,195,0,Medium Engagement,2
53,حل تمرین صفحه 86 ریاضی هفتم,محمد ناری ابیانه,7200,202,501,/v/ympb0jr,0.4031936127744511,2025,Qtr 1,March,2,202,0,Medium Engagement,2
54,مهارتهای اجتماعی پیش دبستانی - نمایش 6: مهارت عیادت از بیمار,فسقلیا,5760,647,634,/v/fpq7ku4,1.0205047318611988,2025,Qtr 1,March,3,647,0,Medium Engagement,2
55,نمونه سوال امتحانی فصل ۵ | ریاضی پنجم ابتدایی,ریاضی آسان,5760,6200,1486,/v/kfgknq1,4.172274562584119,2025,Qtr 1,March,3,6200,0,Medium Engagement,2
56,کلید میانبر باز کردن سریع برنامه های آفیس در ویندوز,آموزشگاه کامپیوتر زراوند,5760,63,78,/v/lzl24uh,0.8076923076923077,2025,Qtr 1,March,3,63,0,Medium Engagement,2
57,انتظار ۱/۵ ساعت رئیس جمهور لهستان برای دیدار با ترامپ,نامه نیوز,120,28,13,/v/bxtqbpa,2.1538461538461537,2025,Qtr 1,March,7,28,0,Medium Engagement,2
58,حضور قالیباف و عراقچی در مراسم تشییع سید حسن نصرالله,نامه نیوز,120,68,50,/v/qezxd1g,1.36,2025,Qtr 1,March,7,68,0,Medium Engagement,2
59,محل تدفین شهدای مقاومت در ضاحیهٔ جنوبیِ بیروت,نامه نیوز,240,72,20,/v/lay39t9,3.6,2025,Qtr 1,March,7,72,0,Medium Engagement,2
